begin_score,eind_score
6613.857142857143,7499.0
4457.0,7511.0
4894.142857142857,7520.0
5663.428571428571,7440.0
5135.285714285714,7435.0
5320.428571428571,7499.0
5663.428571428571,7506.0
5378.428571428571,7441.0
5155.285714285714,7507.0
4532.0,7508.0
5147.285714285714,7513.0
4582.0,7475.0
4407.0,7509.0
4542.0,7456.0
4702.142857142857,7496.0
5519.428571428571,7413.0
5858.571428571429,7533.0
5302.285714285714,7474.0
4835.142857142857,7490.0
5971.571428571429,7465.0
6203.714285714286,7438.0
5143.285714285714,7547.0
5542.428571428571,7511.0
5567.428571428571,7522.0
4855.142857142857,7504.0
3978.857142857143,7497.0
4954.142857142857,7463.0
4809.142857142857,7480.0
5907.571428571429,7488.0
5546.428571428571,7475.0
5482.428571428571,7492.0
4801.142857142857,7523.0
4526.0,7542.0
6087.714285714286,7455.0
5594.428571428571,7517.0
4578.0,7501.0
5172.285714285714,7506.0
5349.285714285714,7467.0
5451.428571428571,7411.0
6233.714285714286,7447.0
5119.285714285714,7496.0
4423.0,7476.0
5049.142857142857,7566.0
6024.571428571429,7471.0
4877.142857142857,7481.0
4865.142857142857,7493.0
4632.0,7471.0
4711.142857142857,7448.0
4953.285714285714,7519.0
4565.0,7120.857142857143
5043.285714285714,7492.0
5866.571428571429,7477.0
4499.0,7485.0
5240.285714285714,7517.0
5998.571428571429,7520.0
5557.428571428571,7511.0
5985.571428571429,7547.0
5512.428571428571,7419.0
3858.7142857142862,7513.0
5586.428571428571,7528.0
5569.428571428571,7543.0
5008.285714285714,7498.0
5066.142857142857,7545.0
5306.285714285714,7526.0
5396.285714285714,7447.0
4574.0,7510.0
5269.285714285714,7514.0
4303.857142857143,7483.0
5664.428571428571,7510.0
5382.285714285714,7510.0
5332.285714285714,7459.0
5092.142857142857,7461.0
5710.571428571429,7457.0
5758.428571428571,7483.0
5297.285714285714,7479.0
5390.285714285714,7513.0
4561.0,7485.0
4619.0,7462.0
5139.142857142857,7479.0
4856.142857142857,7504.0
6013.571428571429,7509.0
5362.285714285714,7463.0
5655.428571428571,7488.0
6031.571428571429,7367.0
4544.0,7486.0
5236.285714285714,7516.0
5554.428571428571,7509.0
5250.285714285714,7156.857142857143
4254.0,7534.0
4377.0,7493.0
5594.428571428571,7431.0
5020.142857142857,7448.0
5237.285714285714,7470.0
5475.428571428571,7467.0
5974.571428571429,7450.0
4503.0,7471.0
4467.0,7424.0
5715.428571428571,7443.0
4837.142857142857,7455.0
5548.428571428571,7457.0
5634.428571428571,7450.0
5970.571428571429,7532.0
5112.285714285714,7419.0
5803.571428571429,7463.0
5128.285714285714,7497.0
5992.571428571429,7497.0
5982.571428571429,7541.0
5064.285714285714,7527.0
5741.571428571429,7517.0
5432.285714285714,7558.0
4328.0,7485.0
4921.285714285714,7440.0
3981.857142857143,7480.0
3916.857142857143,7488.0
4778.142857142857,7443.0
5538.428571428571,7477.0
4492.0,7501.0
4985.142857142857,7482.0
5737.428571428571,7469.0
5772.428571428571,7508.0
5259.285714285714,7459.0
5819.571428571429,7477.0
5521.428571428571,7491.0
4527.0,7506.0
5257.285714285714,7471.0
5022.285714285714,7504.0
5507.428571428571,7538.0
5609.428571428571,7453.0
5242.285714285714,7517.0
5316.285714285714,7107.857142857143
4980.142857142857,7487.0
4996.142857142857,7459.0
4519.0,7503.0
5091.285714285714,7462.0
5383.428571428571,7421.0
5872.571428571429,7493.0
3873.7142857142862,7525.0
5326.285714285714,7471.0
4100.857142857143,7520.0
6021.571428571429,7458.0
6491.714285714286,7529.0
5119.285714285714,7505.0
6082.571428571429,7480.0
5216.285714285714,7097.857142857143
5567.428571428571,7476.0
5668.428571428571,7525.0
5911.428571428571,7490.0
5846.571428571429,7537.0
3917.7142857142862,7449.0
5565.428571428571,7500.0
