begin_score,eind_score
5770.714285714286,7885.571428571429
4706.285714285714,7888.571428571429
3249.7142857142853,7884.571428571429
5342.571428571429,7903.571428571429
5672.714285714286,7890.571428571429
6122.857142857143,7903.571428571429
5027.428571428571,7871.571428571429
5951.857142857143,7907.571428571429
5035.428571428571,7868.571428571429
4533.285714285714,7907.571428571429
3727.857142857143,7903.571428571429
3319.7142857142853,7896.571428571429
4663.285714285714,7904.571428571429
6077.857142857143,7904.571428571429
4770.285714285714,7895.571428571429
6093.857142857143,7884.571428571429
5773.714285714286,7896.571428571429
4370.142857142857,7897.571428571429
3651.857142857143,7893.571428571429
5169.571428571429,7885.571428571429
4634.285714285714,7904.571428571429
5001.428571428571,7890.571428571429
4964.428571428571,7884.571428571429
4721.285714285714,7903.571428571429
5353.571428571429,7907.571428571429
4714.285714285714,7907.571428571429
5412.571428571429,7897.571428571429
4713.285714285714,7903.571428571429
4925.428571428571,7897.571428571429
4624.285714285714,7896.571428571429
5105.428571428571,7897.571428571429
5357.571428571429,7893.571428571429
4575.285714285714,7891.571428571429
5366.571428571429,7891.571428571429
5099.428571428571,7890.571428571429
4202.142857142857,7896.571428571429
4354.142857142857,7892.571428571429
2325.2857142857147,7907.571428571429
4232.142857142857,7883.571428571429
3994.0,7890.571428571429
4138.142857142857,7897.571428571429
5285.571428571429,7904.571428571429
4093.0,7852.571428571429
5734.714285714286,7896.571428571429
4312.142857142857,7903.571428571429
4985.428571428571,7896.571428571429
5414.571428571429,7907.571428571429
5066.428571428571,7904.571428571429
5231.571428571429,7904.571428571429
3580.857142857143,7880.571428571429
3962.0,7891.571428571429
4332.142857142857,7890.571428571429
4695.285714285714,7904.571428571429
5659.714285714286,7896.571428571429
5345.571428571429,7893.571428571429
5714.714285714286,7907.571428571429
5351.571428571429,7896.571428571429
4868.428571428571,7890.571428571429
4756.285714285714,7880.571428571429
4968.428571428571,7904.571428571429
4385.142857142857,7907.571428571429
5755.714285714286,7907.571428571429
3697.857142857143,7904.571428571429
4255.142857142857,7904.571428571429
5602.714285714286,7896.571428571429
6077.857142857143,7887.571428571429
4665.285714285714,7896.571428571429
3305.7142857142853,7904.571428571429
4756.285714285714,7893.571428571429
4400.142857142857,7880.571428571429
4149.142857142857,7869.571428571429
5018.428571428571,7907.571428571429
5028.428571428571,7891.571428571429
5087.428571428571,7895.571428571429
5705.714285714286,7893.571428571429
4083.0,7890.571428571429
5085.428571428571,7896.571428571429
4987.428571428571,7903.571428571429
5240.571428571429,7907.571428571429
3313.7142857142853,7892.571428571429
3941.0,7897.571428571429
5433.571428571429,7882.571428571429
4571.285714285714,7897.571428571429
6401.0,7891.571428571429
4581.285714285714,7884.571428571429
5064.428571428571,7904.571428571429
5768.714285714286,7893.571428571429
5030.428571428571,7890.571428571429
4041.0,7907.571428571429
4451.142857142857,7904.571428571429
4737.285714285714,7890.571428571429
3005.5714285714284,7891.571428571429
3737.857142857143,7880.571428571429
4376.142857142857,7904.571428571429
5642.714285714286,7904.571428571429
4649.285714285714,7885.571428571429
3728.857142857143,7890.571428571429
5038.428571428571,7887.571428571429
4675.285714285714,7903.571428571429
5048.428571428571,7907.571428571429
4465.142857142857,7893.571428571429
4583.285714285714,7904.571428571429
4080.0,7877.571428571429
4404.142857142857,7904.571428571429
4387.142857142857,7886.571428571429
3550.857142857143,7904.571428571429
5368.571428571429,7891.571428571429
3980.0,7883.571428571429
4676.285714285714,7904.571428571429
3973.0,7878.571428571429
4671.285714285714,7903.571428571429
4013.0,7893.571428571429
4162.142857142857,7897.571428571429
4512.285714285714,7904.571428571429
4158.142857142857,7849.571428571429
2569.4285714285716,7903.571428571429
5644.714285714286,7897.571428571429
5086.428571428571,7903.571428571429
5941.857142857143,7885.571428571429
4022.0,7897.571428571429
5022.428571428571,7891.571428571429
5448.571428571429,7897.571428571429
5668.714285714286,7893.571428571429
4320.142857142857,7865.571428571429
5784.714285714286,7893.571428571429
2961.5714285714284,7897.571428571429
5374.571428571429,7891.571428571429
6037.857142857143,7868.571428571429
5807.714285714286,7875.571428571429
5058.428571428571,7907.571428571429
4953.428571428571,7881.571428571429
4325.142857142857,7884.571428571429
4966.428571428571,7892.571428571429
6087.857142857143,7895.571428571429
4649.285714285714,7903.571428571429
4217.142857142857,7907.571428571429
4665.285714285714,7887.571428571429
6079.857142857143,7897.571428571429
4649.285714285714,7866.571428571429
4522.285714285714,7881.571428571429
3993.0,7878.571428571429
4515.285714285714,7893.571428571429
4425.142857142857,7874.571428571429
4697.285714285714,7903.571428571429
5436.571428571429,7903.571428571429
4616.285714285714,7891.571428571429
6060.857142857143,7904.571428571429
4257.142857142857,7883.571428571429
4981.428571428571,7897.571428571429
4231.142857142857,7907.571428571429
