begin_score,eind_score
-2682.011235955056,5193.3258426966295
-2682.011235955056,5063.966292134832
-2682.011235955056,5087.966292134832
-2682.011235955056,5066.966292134832
-2682.011235955056,5054.966292134832
-2682.011235955056,4961.247191011236
-2682.011235955056,4978.966292134832
-2682.011235955056,5202.3258426966295
-2682.011235955056,5185.966292134832
-2682.011235955056,4967.606741573034
-2682.011235955056,4984.606741573034
-2682.011235955056,5021.966292134832
-2682.011235955056,5083.966292134832
-2682.011235955056,5027.966292134832
-2682.011235955056,5056.606741573034
-2682.011235955056,5209.3258426966295
-2682.011235955056,5164.3258426966295
-2682.011235955056,5168.3258426966295
-2682.011235955056,5085.3258426966295
-2682.011235955056,5098.966292134832
-2682.011235955056,5114.966292134832
-2682.011235955056,5052.966292134832
-2682.011235955056,5117.3258426966295
-2682.011235955056,5173.3258426966295
-2682.011235955056,5051.966292134832
-2682.011235955056,5265.3258426966295
-2682.011235955056,5157.3258426966295
-2682.011235955056,5099.3258426966295
-2682.011235955056,5177.3258426966295
-2682.011235955056,5022.966292134832
-2682.011235955056,5157.3258426966295
-2682.011235955056,5161.3258426966295
-2682.011235955056,4991.606741573034
-2682.011235955056,5179.3258426966295
-2682.011235955056,5269.3258426966295
-2682.011235955056,5062.966292134832
-2682.011235955056,5096.966292134832
-2682.011235955056,5213.3258426966295
-2682.011235955056,5130.966292134832
-2682.011235955056,4952.966292134832
-2682.011235955056,5092.966292134832
-2682.011235955056,5108.966292134832
-2682.011235955056,5071.966292134832
-2682.011235955056,5039.966292134832
-2682.011235955056,5071.966292134832
-2682.011235955056,5111.966292134832
-2682.011235955056,5061.606741573034
-2682.011235955056,5098.966292134832
-2682.011235955056,4989.606741573034
-2682.011235955056,5107.966292134832
-2682.011235955056,5119.966292134832
-2682.011235955056,5106.966292134832
-2682.011235955056,5098.3258426966295
-2682.011235955056,5049.966292134832
-2682.011235955056,5193.3258426966295
-2682.011235955056,4860.606741573034
-2682.011235955056,5078.3258426966295
-2682.011235955056,5157.3258426966295
-2682.011235955056,5148.3258426966295
-2682.011235955056,5181.3258426966295
-2682.011235955056,5205.3258426966295
-2682.011235955056,5257.3258426966295
-2682.011235955056,5147.3258426966295
-2682.011235955056,4990.247191011236
-2682.011235955056,4950.3258426966295
-2682.011235955056,5158.3258426966295
-2682.011235955056,5105.3258426966295
-2682.011235955056,5113.3258426966295
-2682.011235955056,5086.3258426966295
-2682.011235955056,5173.3258426966295
-2682.011235955056,5054.966292134832
-2682.011235955056,5137.966292134832
-2682.011235955056,5066.966292134832
-2682.011235955056,5089.3258426966295
-2682.011235955056,5085.3258426966295
-2682.011235955056,5072.966292134832
-2682.011235955056,5049.966292134832
-2682.011235955056,5164.3258426966295
-2682.011235955056,5159.3258426966295
-2682.011235955056,5166.3258426966295
-2682.011235955056,5119.966292134832
-2682.011235955056,5128.3258426966295
-2682.011235955056,5195.3258426966295
-2682.011235955056,5107.3258426966295
-2682.011235955056,5128.966292134832
-2682.011235955056,5147.3258426966295
-2682.011235955056,5115.966292134832
-2682.011235955056,5167.3258426966295
-2682.011235955056,5097.606741573034
-2682.011235955056,5189.3258426966295
-2682.011235955056,5158.3258426966295
-2682.011235955056,5115.966292134832
-2682.011235955056,5111.966292134832
-2682.011235955056,5102.966292134832
-2682.011235955056,5024.3258426966295
-2682.011235955056,5139.3258426966295
-2682.011235955056,5104.966292134832
-2682.011235955056,5081.966292134832
-2682.011235955056,5117.3258426966295
-2682.011235955056,5126.966292134832
-2682.011235955056,5095.966292134832
-2682.011235955056,5055.3258426966295
-2682.011235955056,5099.3258426966295
-2682.011235955056,5017.606741573034
-2682.011235955056,5014.966292134832
-2682.011235955056,5151.3258426966295
-2682.011235955056,4955.606741573034
-2682.011235955056,5125.3258426966295
-2682.011235955056,4983.3258426966295
-2682.011235955056,5219.3258426966295
-2682.011235955056,5131.3258426966295
-2682.011235955056,5193.3258426966295
-2682.011235955056,5202.3258426966295
-2682.011235955056,5099.966292134832
-2682.011235955056,5065.966292134832
-2682.011235955056,5033.966292134832
-2682.011235955056,5120.3258426966295
-2682.011235955056,5101.966292134832
-2682.011235955056,5069.966292134832
-2682.011235955056,5114.966292134832
-2682.011235955056,5126.3258426966295
-2682.011235955056,5149.3258426966295
-2682.011235955056,5117.966292134832
-2682.011235955056,5178.3258426966295
-2682.011235955056,5047.966292134832
-2682.011235955056,4989.606741573034
-2682.011235955056,5134.3258426966295
-2682.011235955056,5008.3258426966295
-2682.011235955056,5046.966292134832
-2682.011235955056,5176.966292134832
-2682.011235955056,5068.3258426966295
-2682.011235955056,4983.966292134832
-2682.011235955056,5072.966292134832
-2682.011235955056,5209.3258426966295
-2682.011235955056,5188.3258426966295
-2682.011235955056,5110.966292134832
-2682.011235955056,4996.3258426966295
-2682.011235955056,5119.966292134832
-2682.011235955056,5238.3258426966295
-2682.011235955056,5223.3258426966295
-2682.011235955056,5036.966292134832
-2682.011235955056,5152.3258426966295
-2682.011235955056,5148.966292134832
-2682.011235955056,5201.3258426966295
-2682.011235955056,5155.3258426966295
-2682.011235955056,5205.3258426966295
-2682.011235955056,5076.966292134832
-2682.011235955056,5125.3258426966295
-2682.011235955056,5083.3258426966295
-2682.011235955056,5033.966292134832
