begin_score,eind_score
4630.285714285714,7191.285714285714
4641.285714285714,7500.428571428571
4179.142857142857,7855.571428571429
4617.285714285714,7501.428571428571
5406.571428571429,7177.285714285714
5043.428571428571,7535.428571428571
5654.714285714286,7829.571428571429
5004.428571428571,7510.428571428571
5084.428571428571,7519.428571428571
3709.857142857143,7500.428571428571
4866.428571428571,7499.428571428571
6061.857142857143,7785.571428571429
3921.0,7498.428571428571
4667.285714285714,7478.428571428571
5279.571428571429,7512.428571428571
4049.0,7828.571428571429
4032.0,7495.428571428571
4311.142857142857,7452.428571428571
4236.142857142857,7537.428571428571
5414.571428571429,7837.571428571429
5005.428571428571,7242.285714285714
4672.285714285714,7532.428571428571
5416.571428571429,7490.428571428571
5739.714285714286,7817.571428571429
4668.285714285714,7532.428571428571
3290.7142857142853,7480.428571428571
4673.285714285714,7516.428571428571
4261.142857142857,7544.428571428571
6105.857142857143,7510.428571428571
4329.142857142857,7815.571428571429
3602.857142857143,7854.571428571429
5035.428571428571,7799.571428571429
5334.571428571429,7821.571428571429
4961.428571428571,7548.428571428571
4283.142857142857,7821.571428571429
4944.428571428571,7544.428571428571
3605.857142857143,7163.285714285714
4630.285714285714,7798.571428571429
3706.857142857143,7177.285714285714
3244.7142857142853,7209.285714285714
5815.714285714286,7817.571428571429
4265.142857142857,7821.571428571429
4726.285714285714,7869.571428571429
5327.571428571429,7539.428571428571
4692.285714285714,7530.428571428571
5383.571428571429,7479.428571428571
3083.5714285714284,7191.285714285714
2975.5714285714284,7421.428571428571
5309.571428571429,7813.571428571429
4351.142857142857,7117.285714285714
